"","cities","countries","aqi_table.X2024"
"1","Byrnihat","India",128.2
"2","Delhi","India",108.3
"3","Karaganda","Kazakhstan",104.8
"4","Mullanpur","India",102.3
"5","Lahore","Pakistan",102.1
"6","Faridabad","India",101.2
"7","Dera Ismail Khan","Pakistan",93
"8","N'Djamena","Chad",91.8
"9","Loni","India",91.7
"10","New Delhi","India",91.6
"11","Multan","Pakistan",91.4
"12","Peshawar","Pakistan",91
"13","Faisalabad","Pakistan",88.8
"14","Sialkot","Pakistan",88.8
"15","Gurugram","India",87.4
"16","Ganganagar","India",86.6
"17","Hotan","China",84.5
"18","Greater Noida","India",83.5
"19","Bhiwadi","India",83.1
"20","Muzaffarnagar","India",83.1
"21","Hanumangarh","India",79.9
"22","Noida","India",79.5
"23","Pindi Bhattian","Pakistan",78.8
"24","Ballabgarh","India",78.6
"25","Mandi Gobindgarh","India",78.4
"26","Dhaka","Bangladesh",78
"27","Bahadurgarh","India",77.9
"28","Sreepur","Bangladesh",77.7
"29","Charsadda","Pakistan",77.4
"30","Faridabad","India",76.8
"31","Bhagalpur","India",76.5
"32","Araria","India",74.7
"33","Ghaziabad","India",74.5
"34","Charkhi Dadri","India",74.3
"35","Patna","India",73.7
"36","Rohtak","India",73.6
"37","Durgapur","India",72.3
"38","Asansol","India",72.2
"39","Hajipur","India",71.8
"40","Singrauli","India",71.2
"41","Chhapra","India",70.3
"42","Chandigarh","India",69.7
"43","Dharuhera","India",69.1
"44","Burabay","Kazakhstan",67.7
"45","Saharsa","India",67.5
"46","Angul","India",67.5
"47","Muzaffarpur","India",67
"48","Baddi","India",66.7
"49","Hapur","India",66.7
"50","Mangla","Pakistan",66.4
"51","Bhiwani","India",66.2
"52","Munger","India",65.8
"53","Rawalpindi","Pakistan",65.8
"54","Talcher","India",65.7
"55","Manesar","India",65.4
"56","Agartala","India",64.3
"57","Panipat","India",63.8
"58","Thach That","Vietnam",63.5
"59","Dholpur","India",62.8
"60","Nalbari","India",61.6
"61","Hisar","India",61.5
"62","Siwan","India",61.3
"63","Buxar","India",61.1
"64","South Tangerang","Indonesia",61.1
"65","Ludhiana","India",60.8
"66","Pali","India",60.2
"67","Bulandshahr","India",60.1
"68","Purnia","India",60
"69","Panchkula","India",59.7
"70","Mandideep","India",59.5
"71","Meerut","India",58.7
"72","Haripur","Pakistan",58.6
"73","Barrackpore","India",58.4
"74","Kinshasa","Democratic Republic of the Congo",58.2
"75","Bhiwadi","India",57.9
"76","Sonipat","India",57.4
"77","Rajgir","India",57.3
"78","Amritsar","India",57.3
"79","Howrah","India",57.1
"80","Purwakarta","Indonesia",56.9
"81","Kurukshetra","India",56.7
"82","Akasia","South Africa",56.5
"83","Yamuna Nagar","India",56.4
"84","Samastipur","India",56
"85","Bikaner","India",55.7
"86","Lucknow","India",55.6
"87","Tangerang","Indonesia",55.6
"88","Jhunjhunun","India",55.4
"89","Kashgar","China",55.2
"90","Aurangabad","India",55.1
"91","Tonk","India",54.4
"92","Jind","India",53.7
"93","Jaipur","India",53.7
"94","Kizilsu","China",53.5
"95","Gwalior","India",53.5
"96","Kota","India",53.5
"97","Chittorgarh","India",53.4
"98","Santa Maria","Peru",53.4
"99","Kaithal","India",53.3
"100","Guwahati","India",53.2
"101","Gummidipoondi","India",53.2
"102","Bada Barabil","India",52.9
"103","Cikarang","Indonesia",52.8
"104","Udaipur","India",52.7
"105","Churu","India",52.6
"106","Khurja","India",52.6
"107","Parbhani","India",52.4
"108","Islamabad","Pakistan",52.4
"109","Bettiah","India",52.3
"110","Jalna","India",52.1
"111","Sikar","India",51.9
"112","Katihar","India",51.8
"113","Gorakhpur","India",51.8
"114","Arrah","India",51.7
"115","Balasore","India",51.7
"116","Ulhasnagar","India",51.6
"117","Malegaon","India",51.5
