"","countries","population","latitude","longitude","GDP_per_capita","Daily.mean.temperature..C.","Average.precipitation..mm.","Average.relative.humidity....","Mean.monthly.sunshine.hours"
"1","Afghanistan","43,844,111",33.93911,67.709953,"$374",15.7,19.78,37.32,11.08
"2","Albania","2,771,508",41.153332,20.168331,"$10,237",15.17,69.8,68.97,10.76
"3","Algeria","47,435,312",28.033886,1.659626,"$5,668",20,22.58,53.43,11
"4","Andorra","82,904",42.546245,1.601554,"$48,671",7.17,49.03,77.27,10.51
"5","Angola","39,040,039",-11.202692,17.873887,"$2,903",24.37,82.34,67.52,10.57
"6","Anguilla","14,728",18.220554,-63.068615,"$28,228",21.68,86.75,74.69,10.44
"7","Antigua and Barbuda","94,209",17.060816,-61.796428,"$25,189",27.14,143.91,76.31,10.97
"8","Argentina","45,851,378",-38.416097,-63.616672,"$14,908",18.24,44.02,61.27,10.62
"10","Armenia","2,952,365",40.069099,45.038189,"$8,894",10.4,95.88,68.24,10.84
"11","Aruba","108,147",12.52111,-69.968338,"$37,911",27.52,41.62,80.54,10.84
"13","Australia","26,974,026",-25.274398,133.775136,"$65,681",20.37,27.19,55.55,10.73
"15","Austria","9,113,574",47.516231,14.550072,"$58,627",8.82,60.99,80.74,10.03
"17","Azerbaijan","10,397,713",40.143105,47.576927,"$7,585",14.47,24.48,62.94,10.74
"18","Bahrain","1,643,332",25.930414,50.637772,"$29,105",27.98,5.48,57.13,11.32
"19","Bangladesh","175,686,899",23.684994,90.356331,"$2,659",27.74,102.25,66.29,10.65
"20","Barbados","282,623",13.193887,-59.543198,"$26,721",27.61,62.45,75.69,10.81
"21","Belarus","8,997,603",53.709807,27.953389,"$7,953",8.66,31.17,80.72,9.35
"22","Belgium","11,758,603",50.503887,4.469936,"$58,244",11.41,37.4,81.29,9.41
"24","Belize","422,924",17.189877,-88.49765,"$8,538",26.64,73.86,80.79,10.3
"25","Benin","14,814,460",9.30769,2.315834,"$1,501",29.12,57.47,65.31,10.69
"26","Bermuda","64,555",32.321384,-64.75737,"$126,120",22.31,71.44,76.43,10.31
"27","Bhutan","796,682",27.514162,90.433601,"$4,295",15.6,108.44,67.92,10.77
"28","Bolivia","12,581,843",-16.290154,-63.588653,"$4,478",18.3,67.67,65.21,10.85
"29","Bosnia and Herzegovina","3,140,095",43.915886,17.679076,"$9,174",12.32,65.34,76.14,10.26
"30","Botswana","2,562,122",-22.328474,24.684866,"$7,572",24.56,26.61,43.91,11.11
"31","Brazil","212,812,405",-14.235004,-51.92528,"$9,990",25.72,83.06,74.2,10.27
"32","British Virgin Islands","39,732",18.420695,-64.639968,"$37,900",27.13,73.51,76.33,10.53
"34","Brunei","466,330",4.535277,114.727669,"$34,325",28.43,139.84,79.63,10.59
"35","Bulgaria","6,714,560",42.733883,25.48583,"$17,426",13.4,38.66,70.87,10.46
"37","Burkina Faso","24,074,580",12.238333,-1.561593,"$1,124",31.14,33.57,37.21,11.27
"38","Burundi","14,390,003",-3.373056,29.918886,"$469",20.47,123.52,74.3,10.93
"39","Cambodia","17,847,982",12.565679,104.990963,"$2,790",28.97,101.88,71.89,10.8
"41","Cameroon","29,879,337",7.369722,12.354722,"$1,875",26.81,110.38,66.78,10.58
"42","Canada","40,126,723",56.130366,-106.346771,"$55,458",2.09,51.69,81.63,8.7
"44","Cayman Islands","75,844",19.513469,-80.566956,"$93,972",27.54,79.58,75.63,10.54
"45","Central African Republic","5,513,282",6.611111,20.939444,"$532",28.52,78.35,60.62,11.04
"46","Chad","21,003,705",15.454166,18.732207,"$895",30.88,58.41,33.04,11.45
"47","Chile","19,859,921",-35.675147,-71.542969,"$17,312",14.49,103.33,66.36,10.61
"49","China","1,416,096,094",35.86166,104.195397,"$13,581",14.62,47.98,62.25,10.27
"51","Colombia","53,425,635",4.570868,-74.297333,"$8,007",24.2,349.06,78.43,10.83
"53","Comoros","882,847",-11.875001,43.872219,"$1,753",26.96,76.56,74.5,10.41
"54","Cook Islands","13,263",-21.236736,-159.777671,"$27,612",24.98,189.85,77.61,10.35
"55","Costa Rica","5,152,950",9.748917,-83.753428,"$19,909",23.57,180.42,79.48,10.52
"57","Croatia","3,848,160",45.1,15.2,"$25,714",13.5,124.11,74.88,10.34
"59","Cuba","10,937,203",21.521757,-77.781167,"$18,468",26.91,131.4,77.62,10.85
"60","Cyprus","1,370,754",35.126413,33.429859,"$28,259",21.71,16.43,63.58,11.16
"62","Denmark","6,002,507",56.26392,9.501785,"$74,959",9.89,32.41,81.61,9.37
"64","Djibouti","1,184,076",11.825138,42.590275,"$3,874",29.8,10.88,61.01,11.15
"65","Dominica","65,871",15.414999,-61.370976,"$11,264",27.31,60.56,76.02,10.73
"66","Dominican Republic","11,520,487",18.735693,-70.162651,"$11,096",26.07,60.13,78,10.8
