"","countries","Daily mean temperature (C)","Average precipitation (mm)","Average relative humidity (%)","Mean monthly sunshine hours"
"1","Argentina","18.24","44.02","61.27","10.62"
"2","Aruba","27.52","41.62","80.54","10.84"
"3","Australia","20.37","27.19","55.55","10.73"
"4","Austria","8.82","60.99","80.74","10.03"
"5","Belgium","11.41","37.4","81.29","9.41"
"6","British Virgin Islands","27.13","73.51","76.33","10.53"
"7","Bulgaria","13.4","38.66","70.87","10.46"
"8","Cambodia","28.97","101.88","71.89","10.8"
"9","Canada","2.09","51.69","81.63","8.7"
"10","Chile","14.49","103.33","66.36","10.61"
"11","China","14.62","47.98","62.25","10.27"
"12","Colombia","24.2","349.06","78.43","10.83"
"13","Costa Rica","23.57","180.42","79.48","10.52"
"14","Croatia","13.5","124.11","74.88","10.34"
"15","Cyprus","21.71","16.43","63.58","11.16"
"16","Czechia","10.07","37.33","78.84","9.74"
"17","Denmark","9.89","32.41","81.61","9.37"
"18","Finland","5.64","36.77","83.11","9.32"
"19","France","12.44","44.6","78.96","9.92"
"20","Germany","10.68","30.93","80.45","9.46"
"21","Greenland","-10.07","24.22","79.98","6.64"
"22","Hong Kong","24.11","105.52","77.1","9.76"
"23","Hungary","13.04","75.55","71.37","10.3"
"24","Iceland","3.17","66.74","82.09","8.33"
"25","India","25.97","87.04","59.76","10.79"
"26","Indonesia","27.11","136.87","79.69","10.56"
"27","Ireland","10.1","82.35","87.27","8.95"
"28","Israel","22.69","18.95","58.29","11.13"
"29","Italy","14.47","100.2","73.18","10.63"
"30","Jamaica","26.83","166.41","79.1","10.79"
"31","Japan","15.19","84.47","76.09","9.92"
"32","Kazakhstan","9.33","44.82","58.48","10.34"
"33","Kenya","22.5","167.89","71.06","11.11"
"34","Kyrgyzstan","9.61","65.59","53.5","10.96"
"35","Latvia","8.07","79.99","82.16","9.43"
"36","Malaysia","28.28","102.95","77.9","10.57"
"37","Maldives","28.21","211.49","75.27","11.1"
"38","Malta","19.94","64.33","72.72","10.98"
"39","Mauritius","25.09","105.83","75.93","10.38"
"40","Mexico","22.03","135.86","61.55","11.05"
"41","Netherlands","11.59","71.96","80.34","9.63"
"42","New Zealand","13.07","133.55","80.18","10.09"
"43","Norway","5.03","146.41","81.87","9.24"
"44","Peru","17.63","121.54","72.55","10.76"
"45","Philippines","27.22","128.05","79.82","10.49"
"46","Poland","10.6","76.59","77.67","9.54"
"47","Portugal","16.81","78.12","71.93","10.45"
"48","Puerto Rico","26.96","129.69","77.79","10.93"
"49","Qatar","29.74","8.98","48.74","11.39"
"50","Romania","12.86","80.75","71.08","10.39"
"51","Saudi Arabia","27.01","12.73","30.72","11.3"
"52","Seychelles","27.59","251.29","76.92","10.69"
"53","Singapore","25.1","115.29","77.24","10.24"
"54","Slovakia","10.78","90.2","77.48","10.0"
"55","Slovenia","11.8","164.23","79.8","10.19"
"56","South Africa","21.22","55.16","54.76","10.67"
"57","Spain","16.61","52.18","68.53","10.59"
"58","Sweden","7.25","70.62","80.89","9.57"
"59","Switzerland","9.1","148.06","81.88","10.13"
"60","Taiwan","24.43","171.61","73.3","10.44"
"61","Thailand","28.64","82.86","69.0","10.56"
"62","Tunisia","21.09","36.02","57.8","11.07"
"63","Turkey","14.96","77.99","63.1","10.82"
"64","United Arab Emirates","29.78","5.21","51.18","11.31"
"65","United Kingdom","10.75","61.25","83.05","9.17"
"66","United States","12.64","50.29","71.35","10.19"
"67","Uruguay","18.62","136.83","74.33","10.43"
"68","Uzbekistan","17.67","26.77","41.06","10.94"
"69","UNITS","26.25","91.41","77.03","10.2"
"70","Afghanistan","15.7","19.78","37.32","11.08"
"71","Albania","15.17","69.8","68.97","10.76"
"72","Algeria","20.0","22.58","53.43","11.0"
"73","American Samoa","28.0","126.16","76.37","10.58"
"74","Andorra","7.17","49.03","77.27","10.51"
"75","Angola","24.37","82.34","67.52","10.57"
"76","Anguilla","21.68","86.75","74.69","10.44"
"77","Antigua and Barbuda","27.14","143.91","76.31","10.97"
"78","Argentina","18.24","44.02","61.27","10.62"
"79","Armenia","10.4","95.88","68.24","10.84"
"80","Aruba","27.52","41.62","80.54","10.84"
"81","Australia","20.37","27.19","55.55","10.73"
"82","Austria","8.82","60.99","80.74","10.03"
"83","Azerbaijan","14.47","24.48","62.94","10.74"
"84","Bahrain","27.98","5.48","57.13","11.32"
"85","Bangladesh","27.74","102.25","66.29","10.65"
"86","Barbados","27.61","62.45","75.69","10.81"
"87","Belarus","8.66","31.17","80.72","9.35"
"88","Belgium","11.41","37.4","81.29","9.41"
"89","Belize","26.64","73.86","80.79","10.3"
"90","Benin","29.12","57.47","65.31","10.69"
"91","Bermuda","22.31","71.44","76.43","10.31"
"92","Bhutan","15.6","108.44","67.92","10.77"
"93","Bolivia","18.3","67.67","65.21","10.85"
"94","Bonaire","27.31","60.93","77.43","10.71"
"95","Bosnia and Herzegovina","12.32","65.34","76.14","10.26"
"96","Botswana","24.56","26.61","43.91","11.11"
"97","Brazil","25.72","83.06","74.2","10.27"
"98","British Indian Ocean Territory","27.56","147.67","77.48","10.25"
"99","British Virgin Islands","27.13","73.51","76.33","10.53"
"100","Brunei","28.43","139.84","79.63","10.59"
"101","Bulgaria","13.4","38.66","70.87","10.46"
"102","Burkina Faso","31.14","33.57","37.21","11.27"
"103","Burundi","20.47","123.52","74.3","10.93"
"104","Cambodia","28.97","101.88","71.89","10.8"
"105","Cameroon","26.81","110.38","66.78","10.58"
"106","Canada","2.09","51.69","81.63","8.7"
"107","Cape Verde","24.3","11.37","76.12","10.86"
"108","Cayman Islands","27.54","79.58","75.63","10.54"
"109","Central African Republic","28.52","78.35","60.62","11.04"
"110","Chad","30.88","58.41","33.04","11.45"
"111","Chile","14.49","103.33","66.36","10.61"
"112","China","14.62","47.98","62.25","10.27"
"113","Christmas Island","26.13","92.7","79.77","10.13"
"114","Colombia","24.2","349.06","78.43","10.83"
"115","Comoros","26.96","76.56","74.5","10.41"
"116","Cook Islands","24.98","189.85","77.61","10.35"
"117","Costa Rica","23.57","180.42","79.48","10.52"
"118","Cote D'Ivoire","28.01","176.26","72.63","10.28"
"119","Croatia","13.5","124.11","74.88","10.34"
"120","Cuba","26.91","131.4","77.62","10.85"
"121","Curacao","27.52","56.57","79.94","10.97"
"122","Cyprus","21.71","16.43","63.58","11.16"
"123","Czechia","10.07","37.33","78.84","9.74"
"124","Democratic Republic of the Congo","26.82","101.05","70.94","10.84"
"125","Denmark","9.89","32.41","81.61","9.37"
"126","Djibouti","29.8","10.88","61.01","11.15"
"127","Dominica","27.31","60.56","76.02","10.73"
"128","Dominican Republic","26.07","60.13","78.0","10.8"
"129","Ecuador","17.26","124.57","82.02","10.19"
"130","Egypt","24.9","2.86","49.12","11.17"
"131","El Salvador","27.31","92.3","72.0","11.13"
"132","Equatorial Guinea","26.08","135.63","83.29","9.96"
"133","Eritrea","26.99","32.94","48.26","11.17"
"134","Estonia","7.51","42.07","82.22","9.3"
"135","Eswatini","20.77","45.85","69.99","10.2"
"136","Ethiopia","22.23","84.48","57.64","10.95"
"137","Falkland Islands","7.85","29.26","76.43","9.39"
"138","Faroe Islands","7.94","59.98","81.33","9.22"
"139","Federated States of Micronesia","28.54","183.09","76.34","10.42"
"140","Fiji","26.49","147.69","79.35","9.63"
"141","Finland","5.64","36.77","83.11","9.32"
"142","France","12.44","44.6","78.96","9.92"
"143","French Guiana","27.45","109.36","81.69","9.87"
"144","French Polynesia","25.73","132.89","79.0","9.69"
"145","French Southern Territories","21.92","53.38","77.0","10.28"
"146","Gabon","26.7","123.4","82.86","9.93"
"147","Georgia","12.11","51.35","69.27","10.59"
"148","Germany","10.68","30.93","80.45","9.46"
"149","Ghana","28.86","78.3","68.01","10.79"
"150","Gibraltar","18.0","29.77","74.91","10.51"
"151","Greece","17.02","41.64","68.19","10.78"
"152","Greenland","-10.07","24.22","79.98","6.64"
"153","Grenada","27.6","63.0","77.35","10.95"
"154","Guadeloupe","27.28","76.04","75.81","10.6"
"155","Guam","28.33","127.9","77.34","10.27"
"156","Guatemala","21.72","143.92","79.03","10.64"
"157","Guernsey","12.5","47.74","80.01","9.55"
"158","Guinea","27.06","117.23","64.51","10.49"
"159","Guinea-Bissau","29.72","67.16","55.33","10.85"
"160","Guyana","27.79","109.64","79.39","10.54"
"161","Haiti","26.48","62.63","75.89","11.02"
"162","Honduras","24.43","255.3","79.81","10.58"
"163","Hong Kong","24.11","105.52","77.1","9.76"
"164","Hungary","13.04","75.55","71.37","10.3"
"165","Iceland","3.17","66.74","82.09","8.33"
"166","India","25.97","87.04","59.76","10.79"
"167","Indonesia","27.11","136.87","79.69","10.56"
"168","Iran","18.43","37.23","41.23","11.18"
"169","Iraq","26.77","27.02","28.98","11.16"
"170","Ireland","10.1","82.35","87.27","8.95"
"171","Isle of Man","10.64","49.95","80.58","9.27"
"172","Israel","22.69","18.95","58.29","11.13"
"173","Italy","14.47","100.2","73.18","10.63"
"174","Jamaica","26.83","166.41","79.1","10.79"
"175","Japan","15.19","84.47","76.09","9.92"
"176","Jersey","12.47","103.64","79.55","9.74"
"177","Jordan","22.17","10.42","47.11","11.19"
"178","Kazakhstan","9.33","44.82","58.48","10.34"
"179","Kenya","22.5","167.89","71.06","11.11"
"180","Kiribati","27.6","126.41","77.73","10.56"
"181","Kosovo","12.36","91.25","73.59","10.61"
"182","Kuwait","28.83","12.8","35.37","11.25"
"183","Kyrgyzstan","9.61","65.59","53.5","10.96"
"184","Laos","25.39","109.16","74.21","10.48"
"185","Latvia","8.07","79.99","82.16","9.43"
"186","Lebanon","19.92","56.7","61.07","11.2"
"187","Lesotho","16.06","93.23","53.56","10.9"
"188","Liberia","26.86","289.74","80.13","9.96"
"189","Libya","23.87","14.17","44.16","11.18"
"190","Liechtenstein","8.62","162.39","80.23","10.46"
"191","Lithuania","8.77","81.89","81.81","9.46"
"192","Luxembourg","10.06","105.2","84.55","9.31"
"193","Macau","24.37","254.62","77.03","9.9"
"194","Madagascar","23.88","150.28","74.81","10.61"
"195","Malawi","23.02","128.62","70.14","10.98"
"196","Malaysia","28.28","102.95","77.9","10.57"
"197","Maldives","28.21","211.49","75.27","11.1"
"198","Mali","31.77","45.59","29.19","11.25"
"199","Malta","19.94","64.33","72.72","10.98"
"200","Marshall Islands","28.16","281.44","77.31","10.37"
"201","Martinique","27.58","113.86","75.15","10.98"
"202","Mauritania","29.76","16.2","32.13","11.32"
"203","Mauritius","25.09","105.83","75.93","10.38"
"204","Mayotte","27.17","160.33","73.32","10.42"
"205","Mexico","22.03","135.86","61.55","11.05"
"206","Moldova","12.59","56.58","69.31","10.16"
"207","Monaco","16.04","153.14","71.47","11.01"
"208","Mongolia","1.22","36.76","57.37","11.02"
"209","Montenegro","12.24","186.13","74.58","10.62"
"210","Montserrat","27.26","138.97","76.14","11.04"
"211","Morocco","21.46","33.41","53.86","10.87"
"212","Mozambique","25.62","109.73","71.59","10.59"
"213","Myanmar","27.02","120.81","68.94","10.54"
"214","Namibia","24.46","56.54","38.64","11.36"
"215","Nauru","28.36","233.85","75.01","10.71"
"216","Nepal","22.0","215.53","56.77","10.98"
"217","Netherlands","11.59","71.96","80.34","9.63"
"218","New Caledonia","23.44","151.74","77.94","9.93"
"219","New Zealand","13.07","133.55","80.18","10.09"
"220","Nicaragua","26.48","230.12","77.65","10.53"
"221","Niger","32.04","27.86","25.48","11.37"
"222","Nigeria","29.46","141.26","59.41","10.5"
"223","Niue","26.02","210.65","78.02","9.84"
"224","Northern Mariana Islands","28.08","233.69","77.38","10.5"
"225","North Korea","9.25","49.49","70.59","10.4"
"226","North Macedonia","13.29","95.7","69.87","10.79"
"227","Norway","5.03","146.41","81.87","9.24"
"228","Oman","29.2","10.54","43.78","11.27"
"229","Pakistan","20.89","66.24","41.02","11.15"
"230","Palau","28.53","384.86","76.19","10.92"
"231","Palestine","22.6","30.21","58.29","11.19"
"232","Panama","26.87","263.59","80.33","10.42"
"233","Papua New Guinea","23.03","507.65","84.54","10.3"
"234","Paraguay","25.06","147.08","72.72","10.79"
"235","Peru","17.63","121.54","72.55","10.76"
"236","Philippines","27.22","128.05","79.82","10.49"
"237","Pitcairn Islands","23.17","190.01","76.6","10.23"
"238","Poland","10.6","76.59","77.67","9.54"
"239","Portugal","16.81","78.12","71.93","10.45"
"240","Puerto Rico","26.96","129.69","77.79","10.93"
"241","Qatar","29.74","8.98","48.74","11.39"
"242","Republic of the Congo","27.33","204.6","76.81","10.78"
"243","Reunion","23.22","179.49","80.18","10.73"
"244","Romania","12.86","80.75","71.08","10.39"
"245","Russia","5.27","72.09","79.16","9.37"
"246","Rwanda","20.44","304.0","77.53","11.13"
"247","Saint Barthelemy","27.14","150.9","76.35","10.86"
"248","Saint Helena","20.5","62.25","78.28","9.24"
"249","Saint Kitts and Nevis","27.1","117.3","76.33","10.93"
"250","Saint Lucia","27.77","104.21","74.55","11.02"
"251","Saint Martin","27.07","152.69","76.38","10.87"
"252","Saint Pierre and Miquelon","6.58","142.27","82.7","8.78"
"253","Saint Vincent and the Grenadines","26.72","86.65","76.57","11.13"
"254","Samoa","27.65","399.03","78.14","10.55"
"255","San Marino","16.66","93.25","70.41","10.58"
"256","Sao Tome and Principe","26.54","218.05","79.4","10.03"
"257","Saudi Arabia","27.01","12.73","30.72","11.3"
"258","Senegal","30.32","60.07","44.81","11.17"
"259","Serbia","13.25","84.65","71.86","10.4"
"260","Seychelles","27.59","251.29","76.92","10.69"
"261","Sierra Leone","27.61","260.41","76.69","10.23"
"262","Singapore","25.1","115.29","77.24","10.24"
"263","Sint Maarten","27.07","152.69","76.38","10.86"
"264","Slovakia","10.78","90.2","77.48","10.0"
"265","Slovenia","11.8","164.23","79.8","10.19"
"266","Solomon Islands","27.76","448.73","80.92","10.46"
"267","Somalia","27.91","60.2","56.92","11.35"
"268","South Africa","21.22","55.16","54.76","10.67"
"269","South Georgia and South Sandwich Islands","0.02","223.69","89.07","8.44"
"270","South Korea","13.6","121.88","70.98","10.23"
"271","South Sudan","29.5","125.58","48.43","11.35"
"272","Spain","16.61","52.18","68.53","10.59"
"273","Sri Lanka","27.46","226.41","78.6","10.78"
"274","Sudan","30.04","44.95","30.03","11.35"
"275","Suriname","27.51","245.07","81.04","10.34"
"276","Svalbard And Jan Mayen","-2.0","73.04","86.63","3.68"
"277","Sweden","7.25","70.62","80.89","9.57"
"278","Switzerland","9.1","148.06","81.88","10.13"
"279","Syria","21.76","38.21","51.15","11.21"
"280","Taiwan","24.43","171.61","73.3","10.44"
"281","Tajikistan","7.86","93.05","55.49","10.73"
"282","Tanzania","24.22","179.96","72.55","11.07"
"283","Thailand","28.64","82.86","69.0","10.56"
"284","The Bahamas","25.84","152.54","75.53","10.67"
"285","The Gambia","29.58","72.68","49.22","11.14"
"286","Timor-Leste","26.57","72.28","74.73","10.86"
"287","Togo","26.08","142.68","64.08","10.95"
"288","Tokelau","28.55","315.79","75.35","10.84"
"289","Tonga","25.73","217.69","77.9","10.25"
"290","Trinidad and Tobago","27.72","126.5","76.4","11.28"
"291","Tunisia","21.09","36.02","57.8","11.07"
"292","Turkey","14.96","77.99","63.1","10.82"
"293","Turkmenistan","19.59","14.26","35.83","11.06"
"294","Turks and Caicos Islands","26.73","97.15","77.25","10.88"
"295","Tuvalu","28.72","380.16","74.9","10.67"
"296","Uganda","23.47","282.53","72.42","11.11"
"297","Ukraine","11.38","49.52","73.77","9.8"
"298","United Arab Emirates","29.78","5.21","51.18","11.31"
"299","United Kingdom","10.75","61.25","83.05","9.17"
"300","United States","12.64","50.29","71.35","10.19"
"301","United States Minor Outlying Islands","26.33","197.62","78.18","10.45"
"302","Uruguay","18.62","136.83","74.33","10.43"
"303","US Virgin Islands","27.14","145.21","76.34","10.88"
"304","Uzbekistan","17.67","26.77","41.06","10.94"
"305","Vanuatu","26.28","229.66","79.37","10.13"
"306","Vatican City","18.38","104.51","67.85","10.88"
"307","Venezuela","26.65","201.48","75.92","10.79"
"308","Vietnam","26.25","91.41","77.03","10.2"
"309","Wallis and Futuna","28.13","356.55","77.26","10.06"
"310","Western Sahara","26.74","8.81","30.36","11.26"
"311","Yemen","25.53","82.7","48.04","11.39"
"312","Zambia","23.33","113.42","63.37","10.78"
"313","Zimbabwe","22.73","94.57","59.3","10.67"
